order_id,customer_id,product_id,order_date,quantity,discount_pct,sales_amount,channel,source_system
O-000055,C-0007,P-130,2025-07-15,4,0,24800,Direct,copy_job
O-000056,C-0067,P-100,2025-02-20,1,0.1,7578.0,Marketplace,shortcut
O-000057,C-0064,P-100,2025-07-06,7,0.1,53046.0,Web,shortcut
O-000058,C-0076,P-100,2026-06-27,1,0.15,7157.0,Marketplace,shortcut
O-000059,C-0103,P-150,2025-03-01,3,0.1,26460.0,Web,mirror
O-000060,C-0139,P-150,2025-08-18,4,0,39200,Web,shortcut
O-000061,C-0052,P-150,2026-01-16,1,0.1,8820.0,Marketplace,copy_job
O-000062,C-0064,P-120,2025-04-14,3,0,37500,Direct,shortcut
O-000063,C-0020,P-130,2025-08-28,1,0.05,5890.0,Partner,copy_job
O-000064,C-0010,P-100,2026-07-07,6,0.05,47994.0,Direct,copy_job
O-000065,C-0060,P-150,2026-02-09,4,0,39200,Partner,mirror
O-000066,C-0064,P-120,2026-03-24,2,0,25000,Partner,mirror
O-000067,C-0077,P-130,2025-03-30,3,0,18600,Marketplace,shortcut
O-000068,C-0106,P-150,2025-04-22,5,0.1,44100.0,Web,shortcut
O-000069,C-0023,P-130,2025-05-06,3,0.15,15810.0,Web,mirror
O-000070,C-0120,P-120,2025-10-13,4,0.1,45000.0,Marketplace,shortcut
O-000071,C-0099,P-140,2026-02-06,4,0.05,29640.0,Web,copy_job
O-000072,C-0024,P-130,2025-01-04,2,0.1,11160.0,Partner,mirror
O-000073,C-0004,P-110,2025-03-24,2,0.1,8991.0,Marketplace,shortcut
O-000074,C-0130,P-120,2026-03-23,5,0,62500,Web,copy_job
O-000075,C-0121,P-150,2026-03-12,5,0,49000,Direct,copy_job
O-000076,C-0039,P-140,2025-08-07,4,0.05,29640.0,Marketplace,copy_job
O-000077,C-0008,P-120,2025-08-21,7,0.05,83125.0,Partner,copy_job
O-000078,C-0069,P-120,2025-12-24,4,0,50000,Web,shortcut
O-000079,C-0115,P-150,2026-01-24,1,0.15,8330.0,Partner,copy_job
O-000080,C-0086,P-150,2025-07-14,6,0.1,52920.0,Web,mirror
O-000081,C-0071,P-150,2025-07-18,7,0.05,65170.0,Marketplace,mirror
O-000082,C-0109,P-140,2025-10-11,6,0.15,39780.0,Direct,copy_job
O-000083,C-0067,P-100,2025-02-28,4,0,33680,Direct,shortcut
O-000084,C-0036,P-140,2026-06-11,4,0.1,28080.0,Direct,mirror
O-000085,C-0030,P-100,2025-11-07,7,0,58940,Marketplace,mirror
O-000086,C-0038,P-140,2026-05-13,8,0.05,59280.0,Partner,mirror
O-000087,C-0118,P-100,2026-07-01,8,0.1,60624.0,Web,shortcut
O-000088,C-0020,P-130,2025-03-25,4,0.15,21080.0,Marketplace,shortcut
O-000089,C-0088,P-150,2026-05-14,7,0.05,65170.0,Direct,copy_job
O-000090,C-0031,P-140,2026-02-25,6,0.05,44460.0,Marketplace,copy_job
O-000091,C-0127,P-110,2025-07-03,6,0.05,28471.5,Partner,shortcut
O-000092,C-0030,P-150,2025-11-08,2,0.05,18620.0,Web,copy_job
O-000093,C-0007,P-100,2026-04-17,1,0,8420,Web,copy_job
O-000094,C-0107,P-150,2025-05-27,7,0,68600,Marketplace,mirror
O-000095,C-0003,P-110,2025-08-03,3,0,14985,Direct,shortcut
O-000096,C-0084,P-110,2025-03-13,1,0,4995,Direct,copy_job
O-000097,C-0115,P-140,2025-08-17,2,0,15600,Partner,shortcut
O-000098,C-0051,P-110,2026-04-21,5,0.05,23726.25,Partner,shortcut
O-000099,C-0014,P-140,2026-04-17,3,0,23400,Direct,copy_job
O-000100,C-0087,P-140,2026-06-28,8,0.05,59280.0,Marketplace,shortcut
O-000101,C-0094,P-140,2025-07-23,7,0,54600,Partner,mirror
O-000102,C-0106,P-140,2025-07-18,6,0.1,42120.0,Direct,shortcut
O-000103,C-0132,P-140,2026-02-04,5,0,39000,Direct,shortcut
O-000104,C-0058,P-110,2026-03-05,6,0.15,25474.5,Web,shortcut
O-000105,C-0011,P-100,2025-10-16,4,0.05,31996.0,Web,shortcut
O-000106,C-0005,P-140,2025-04-25,3,0.15,19890.0,Marketplace,mirror
O-000107,C-0012,P-150,2025-12-06,4,0,39200,Direct,shortcut
O-000108,C-0123,P-150,2025-05-21,5,0.15,41650.0,Web,copy_job
O-000109,C-0089,P-140,2026-01-28,6,0,46800,Partner,copy_job
O-000110,C-0043,P-150,2026-03-06,1,0.1,8820.0,Marketplace,copy_job
O-000111,C-0136,P-120,2025-09-19,5,0.15,53125.0,Web,copy_job
O-000112,C-0126,P-120,2025-12-11,3,0.15,31875.0,Web,mirror
O-000113,C-0068,P-120,2025-11-18,4,0.15,42500.0,Partner,mirror
O-000114,C-0070,P-100,2025-12-11,6,0,50520,Marketplace,copy_job
O-000115,C-0063,P-120,2026-03-31,8,0,100000,Partner,copy_job
O-000116,C-0128,P-110,2025-06-27,2,0.1,8991.0,Partner,copy_job
O-000117,C-0070,P-110,2026-04-17,4,0,19980,Marketplace,mirror
O-000118,C-0037,P-140,2025-08-06,4,0.1,28080.0,Partner,mirror
O-000119,C-0099,P-100,2026-07-07,4,0.1,30312.0,Marketplace,shortcut
O-000120,C-0119,P-120,2026-03-04,1,0.1,11250.0,Partner,copy_job
O-000121,C-0003,P-150,2026-01-01,6,0.15,49980.0,Web,mirror
O-000122,C-0060,P-120,2026-06-23,7,0,87500,Partner,shortcut
O-000123,C-0105,P-120,2026-06-14,2,0.05,23750.0,Web,copy_job
O-000124,C-0078,P-150,2026-06-11,8,0.15,66640.0,Web,mirror
O-000125,C-0103,P-120,2026-03-31,4,0,50000,Web,shortcut
O-000126,C-0049,P-130,2026-04-28,8,0.1,44640.0,Partner,mirror
O-000127,C-0062,P-130,2025-08-07,5,0.1,27900.0,Web,shortcut
O-000128,C-0025,P-110,2025-09-26,5,0.15,21228.75,Marketplace,shortcut
O-000129,C-0020,P-140,2026-01-24,4,0,31200,Direct,copy_job
O-000130,C-0117,P-110,2025-07-09,5,0.15,21228.75,Partner,mirror
O-000131,C-0082,P-150,2025-06-19,1,0,9800,Direct,copy_job
O-000132,C-0007,P-130,2025-04-10,6,0,37200,Direct,shortcut
O-000133,C-0050,P-130,2025-02-03,6,0,37200,Partner,copy_job
O-000134,C-0079,P-110,2026-04-30,7,0.15,29720.25,Direct,mirror
O-000135,C-0109,P-120,2025-10-22,4,0.15,42500.0,Marketplace,copy_job
O-000136,C-0140,P-120,2025-09-21,8,0.1,90000.0,Direct,mirror
O-000137,C-0128,P-120,2026-01-02,4,0,50000,Partner,shortcut
O-000138,C-0077,P-150,2025-11-07,6,0,58800,Direct,copy_job
O-000139,C-0079,P-140,2025-05-04,7,0.1,49140.0,Direct,mirror
O-000140,C-0008,P-130,2025-03-11,3,0,18600,Marketplace,copy_job
O-000141,C-0135,P-140,2025-06-27,2,0.05,14820.0,Direct,mirror
O-000142,C-0126,P-120,2025-07-08,7,0,87500,Partner,mirror
O-000143,C-0119,P-100,2026-01-31,1,0.15,7157.0,Partner,copy_job
O-000144,C-0027,P-120,2025-02-15,8,0.1,90000.0,Marketplace,shortcut
O-000145,C-0110,P-140,2025-08-29,3,0.05,22230.0,Marketplace,shortcut
O-000146,C-0113,P-110,2026-07-02,3,0,14985,Marketplace,mirror
O-000147,C-0129,P-130,2026-06-01,1,0.1,5580.0,Web,copy_job
O-000148,C-0074,P-100,2026-05-13,8,0,67360,Web,copy_job
O-000149,C-0148,P-100,2026-06-15,3,0,25260,Partner,shortcut
O-000150,C-0007,P-140,2025-09-11,7,0,54600,Partner,mirror
O-000151,C-0041,P-100,2026-02-14,3,0,25260,Web,shortcut
O-000152,C-0091,P-150,2025-11-19,2,0.1,17640.0,Marketplace,mirror
O-000153,C-0111,P-120,2026-03-24,5,0,62500,Marketplace,shortcut
O-000154,C-0056,P-100,2025-01-30,6,0.1,45468.0,Marketplace,shortcut
O-000155,C-0091,P-140,2026-01-02,5,0.1,35100.0,Direct,mirror
O-000156,C-0110,P-100,2026-04-17,1,0,8420,Direct,copy_job
O-000157,C-0051,P-150,2025-04-09,5,0.1,44100.0,Direct,mirror
O-000158,C-0035,P-130,2025-04-07,4,0,24800,Direct,mirror
O-000159,C-0095,P-100,2025-09-20,4,0.1,30312.0,Partner,shortcut
O-000160,C-0043,P-110,2025-12-08,8,0.05,37962.0,Direct,copy_job
O-000161,C-0018,P-100,2026-02-09,4,0,33680,Partner,copy_job
O-000162,C-0113,P-120,2025-02-10,4,0,50000,Partner,mirror
O-000163,C-0052,P-120,2025-05-25,6,0.1,67500.0,Direct,copy_job
O-000164,C-0044,P-150,2025-05-24,3,0.1,26460.0,Direct,copy_job
O-000165,C-0098,P-110,2025-07-30,2,0.15,8491.5,Marketplace,copy_job
O-000166,C-0121,P-140,2025-02-19,7,0,54600,Web,mirror
O-000167,C-0133,P-110,2025-06-01,5,0,24975,Partner,copy_job
O-000168,C-0076,P-150,2026-04-12,6,0.05,55860.0,Partner,mirror
O-000169,C-0145,P-100,2025-09-26,2,0.05,15998.0,Web,mirror
O-000170,C-0113,P-150,2025-03-06,7,0.05,65170.0,Marketplace,copy_job
O-000171,C-0049,P-140,2025-03-15,7,0.05,51870.0,Web,copy_job
O-000172,C-0013,P-130,2025-05-04,7,0,43400,Direct,mirror
O-000173,C-0142,P-130,2025-04-18,6,0,37200,Marketplace,mirror
O-000174,C-0033,P-150,2025-10-24,7,0,68600,Marketplace,shortcut
O-000175,C-0038,P-130,2026-01-17,8,0,49600,Web,mirror
O-000176,C-0030,P-100,2025-03-04,2,0,16840,Partner,shortcut
O-000177,C-0137,P-140,2025-12-19,5,0.05,37050.0,Direct,mirror
O-000178,C-0014,P-150,2025-12-22,1,0.15,8330.0,Partner,mirror
O-000179,C-0057,P-120,2025-07-04,3,0,37500,Web,mirror
O-000180,C-0149,P-140,2025-01-06,6,0.05,44460.0,Direct,copy_job
O-000181,C-0101,P-110,2025-06-03,2,0.05,9490.5,Web,shortcut
O-000182,C-0116,P-130,2025-01-26,8,0.1,44640.0,Marketplace,copy_job
O-000183,C-0018,P-130,2026-04-10,8,0.15,42160.0,Direct,mirror
O-000184,C-0022,P-140,2026-02-12,7,0,54600,Direct,shortcut
O-000185,C-0090,P-150,2026-03-20,6,0.15,49980.0,Partner,copy_job
O-000186,C-0062,P-100,2025-08-19,7,0.15,50099.0,Partner,copy_job
O-000187,C-0064,P-110,2026-05-19,8,0.1,35964.0,Web,mirror
O-000188,C-0139,P-100,2025-09-21,5,0.15,35785.0,Direct,copy_job
O-000189,C-0128,P-130,2025-10-29,6,0,37200,Web,shortcut
O-000190,C-0098,P-130,2025-05-17,2,0,12400,Web,copy_job
O-000191,C-0004,P-150,2026-06-27,6,0,58800,Marketplace,mirror
O-000192,C-0026,P-140,2025-06-08,8,0,62400,Partner,copy_job
O-000193,C-0096,P-120,2026-01-26,6,0.15,63750.0,Direct,copy_job
O-000194,C-0134,P-130,2025-01-19,3,0,18600,Partner,copy_job
O-000195,C-0103,P-150,2025-12-09,4,0,39200,Marketplace,copy_job
O-000196,C-0007,P-100,2025-02-15,7,0.05,55993.0,Marketplace,shortcut
O-000197,C-0053,P-130,2026-07-08,8,0,49600,Direct,shortcut
O-000198,C-0046,P-150,2026-04-10,7,0.1,61740.0,Marketplace,mirror
O-000199,C-0047,P-140,2025-05-19,2,0,15600,Web,mirror
O-000200,C-0081,P-120,2026-06-10,6,0.05,71250.0,Direct,copy_job
O-000201,C-0014,P-140,2025-11-19,6,0,46800,Partner,copy_job
O-000202,C-0044,P-130,2025-10-12,6,0,37200,Direct,shortcut
O-000203,C-0050,P-120,2026-03-05,2,0,25000,Partner,mirror
O-000204,C-0069,P-150,2026-04-04,5,0,49000,Direct,mirror
O-000205,C-0040,P-100,2025-04-28,1,0,8420,Web,mirror
O-000206,C-0148,P-100,2025-07-16,4,0.15,28628.0,Marketplace,mirror
O-000207,C-0028,P-110,2026-03-18,3,0,14985,Direct,shortcut
O-000208,C-0069,P-130,2025-03-23,6,0.1,33480.0,Direct,copy_job
O-000209,C-0076,P-100,2026-01-18,1,0,8420,Marketplace,shortcut
O-000210,C-0014,P-110,2025-11-07,7,0.15,29720.25,Partner,shortcut
O-000211,C-0052,P-110,2025-10-25,3,0.15,12737.25,Web,mirror
O-000212,C-0028,P-130,2026-02-03,2,0.05,11780.0,Direct,shortcut
O-000213,C-0125,P-130,2026-05-18,1,0.1,5580.0,Partner,shortcut
O-000214,C-0051,P-120,2025-08-25,1,0.1,11250.0,Web,mirror
O-000215,C-0145,P-120,2025-03-04,3,0,37500,Web,mirror
O-000216,C-0140,P-130,2025-11-15,3,0.1,16740.0,Partner,shortcut
O-000217,C-0113,P-100,2025-10-16,5,0,42100,Partner,shortcut
O-000218,C-0141,P-110,2025-12-02,7,0.1,31468.5,Marketplace,shortcut
O-000219,C-0105,P-140,2025-10-27,6,0.1,42120.0,Web,mirror
O-000220,C-0060,P-110,2026-02-10,3,0.1,13486.5,Partner,copy_job
O-000221,C-0097,P-110,2025-10-18,7,0.15,29720.25,Marketplace,shortcut
O-000222,C-0072,P-140,2025-02-15,4,0.15,26520.0,Marketplace,mirror
O-000223,C-0125,P-110,2026-02-17,2,0.05,9490.5,Direct,mirror
O-000224,C-0083,P-120,2025-11-12,3,0.05,35625.0,Web,copy_job
O-000225,C-0090,P-130,2025-09-30,7,0.1,39060.0,Direct,copy_job
O-000226,C-0128,P-130,2025-11-23,4,0,24800,Partner,shortcut
O-000227,C-0123,P-140,2025-08-16,5,0.05,37050.0,Web,mirror
O-000228,C-0135,P-120,2025-12-20,4,0.1,45000.0,Partner,mirror
O-000229,C-0055,P-130,2026-06-09,2,0,12400,Marketplace,shortcut
O-000230,C-0002,P-110,2025-11-27,4,0.1,17982.0,Web,copy_job
O-000231,C-0087,P-100,2025-10-27,5,0.05,39995.0,Marketplace,copy_job
O-000232,C-0010,P-110,2025-02-05,4,0.05,18981.0,Marketplace,shortcut
O-000233,C-0004,P-140,2026-03-08,3,0.05,22230.0,Partner,mirror
O-000234,C-0008,P-110,2025-05-22,5,0,24975,Direct,copy_job
O-000235,C-0098,P-110,2025-02-22,8,0.15,33966.0,Direct,shortcut
O-000236,C-0141,P-110,2026-01-09,2,0.05,9490.5,Direct,shortcut
O-000237,C-0014,P-120,2025-10-10,2,0.1,22500.0,Direct,copy_job
O-000238,C-0130,P-120,2025-08-19,3,0,37500,Marketplace,shortcut
O-000239,C-0050,P-120,2025-07-30,2,0,25000,Web,shortcut
O-000240,C-0074,P-140,2026-06-28,5,0,39000,Marketplace,copy_job
O-000241,C-0012,P-120,2025-02-03,8,0.05,95000.0,Partner,mirror
O-000242,C-0140,P-110,2026-07-09,2,0.05,9490.5,Partner,mirror
O-000243,C-0003,P-110,2025-12-15,6,0,29970,Marketplace,copy_job
O-000244,C-0132,P-150,2026-03-27,7,0,68600,Direct,copy_job
O-000245,C-0134,P-140,2025-05-19,3,0.15,19890.0,Marketplace,copy_job
O-000246,C-0093,P-130,2026-03-17,6,0.15,31620.0,Web,shortcut
O-000247,C-0121,P-140,2026-06-29,5,0,39000,Marketplace,mirror
O-000248,C-0087,P-130,2026-06-27,7,0,43400,Web,mirror
O-000249,C-0027,P-100,2026-03-20,5,0.1,37890.0,Direct,shortcut
O-000250,C-0110,P-100,2025-07-14,2,0.1,15156.0,Marketplace,mirror
O-000251,C-0147,P-120,2025-05-06,4,0,50000,Web,copy_job
O-000252,C-0013,P-140,2025-05-28,5,0,39000,Marketplace,copy_job
O-000253,C-0116,P-110,2025-03-17,7,0,34965,Partner,mirror
O-000254,C-0109,P-150,2025-11-24,4,0.1,35280.0,Marketplace,mirror
O-000255,C-0065,P-120,2026-05-26,2,0.05,23750.0,Direct,shortcut
O-000256,C-0076,P-130,2026-05-02,2,0,12400,Direct,copy_job
O-000257,C-0065,P-100,2025-05-29,2,0,16840,Web,shortcut
O-000258,C-0128,P-110,2026-03-02,4,0,19980,Marketplace,shortcut
O-000259,C-0090,P-140,2026-06-06,1,0.1,7020.0,Partner,mirror
O-000260,C-0082,P-120,2026-01-29,7,0.15,74375.0,Direct,mirror
O-000261,C-0033,P-110,2025-08-19,8,0.15,33966.0,Partner,shortcut
O-000262,C-0042,P-140,2025-12-08,4,0,31200,Web,mirror
O-000263,C-0100,P-110,2025-10-08,3,0,14985,Web,copy_job
O-000264,C-0027,P-100,2025-12-12,6,0.1,45468.0,Marketplace,shortcut
O-000265,C-0061,P-140,2026-03-17,8,0.05,59280.0,Web,mirror
O-000266,C-0084,P-140,2025-05-02,3,0.05,22230.0,Web,mirror
O-000267,C-0117,P-110,2025-12-01,5,0.1,22477.5,Marketplace,copy_job
O-000268,C-0005,P-150,2025-06-13,8,0.05,74480.0,Marketplace,shortcut
O-000269,C-0135,P-140,2026-05-31,2,0,15600,Direct,shortcut
O-000270,C-0053,P-130,2026-01-26,2,0,12400,Web,shortcut
O-000271,C-0066,P-140,2025-12-14,6,0,46800,Marketplace,shortcut
O-000272,C-0055,P-150,2026-02-10,5,0,49000,Partner,copy_job
O-000273,C-0072,P-110,2025-01-22,2,0.1,8991.0,Direct,copy_job
O-000274,C-0057,P-140,2025-02-18,7,0,54600,Direct,mirror
O-000275,C-0023,P-130,2025-02-23,6,0,37200,Partner,shortcut
O-000276,C-0022,P-120,2025-11-21,6,0.05,71250.0,Marketplace,copy_job
O-000277,C-0038,P-130,2025-11-09,6,0.15,31620.0,Partner,shortcut
O-000278,C-0142,P-110,2025-12-20,7,0.1,31468.5,Marketplace,copy_job
O-000279,C-0007,P-110,2025-10-07,3,0,14985,Partner,mirror
O-000280,C-0040,P-150,2026-01-29,8,0,78400,Web,copy_job
O-000281,C-0091,P-130,2026-01-29,5,0,31000,Partner,shortcut
O-000282,C-0009,P-100,2025-03-04,7,0.1,53046.0,Direct,copy_job
O-000283,C-0003,P-100,2026-03-09,3,0.15,21471.0,Marketplace,mirror
O-000284,C-0147,P-150,2026-04-07,8,0.05,74480.0,Marketplace,copy_job
O-000285,C-0017,P-120,2025-05-29,6,0,75000,Marketplace,shortcut
O-000286,C-0019,P-100,2025-06-12,1,0.05,7999.0,Direct,mirror
O-000287,C-0091,P-120,2025-05-12,3,0.05,35625.0,Direct,shortcut
O-000288,C-0050,P-120,2026-05-30,2,0,25000,Partner,shortcut
O-000289,C-0061,P-140,2025-08-27,5,0.15,33150.0,Partner,copy_job
O-000290,C-0149,P-140,2025-07-06,5,0.05,37050.0,Web,shortcut
O-000291,C-0124,P-140,2026-05-16,7,0,54600,Direct,copy_job
O-000292,C-0137,P-110,2026-02-09,3,0.15,12737.25,Marketplace,shortcut
O-000293,C-0026,P-100,2025-09-02,3,0.05,23997.0,Partner,mirror
O-000294,C-0033,P-130,2025-10-14,6,0.05,35340.0,Marketplace,copy_job
O-000295,C-0099,P-150,2025-04-16,4,0,39200,Marketplace,copy_job
O-000296,C-0024,P-130,2025-09-21,3,0.1,16740.0,Web,mirror
O-000297,C-0064,P-100,2026-03-13,3,0,25260,Web,mirror
O-000298,C-0081,P-110,2025-11-20,8,0.15,33966.0,Web,shortcut
O-000299,C-0122,P-130,2025-01-15,7,0,43400,Marketplace,shortcut
O-000300,C-0015,P-100,2025-08-24,5,0,42100,Direct,copy_job
O-000301,C-0061,P-140,2025-06-02,6,0,46800,Partner,mirror
O-000302,C-0132,P-120,2025-10-13,8,0.1,90000.0,Marketplace,shortcut
O-000303,C-0032,P-140,2025-01-16,1,0.1,7020.0,Direct,mirror
O-000304,C-0127,P-120,2026-05-06,3,0.15,31875.0,Direct,shortcut
O-000305,C-0001,P-140,2025-07-11,4,0,31200,Direct,copy_job
O-000306,C-0092,P-110,2026-04-08,8,0.1,35964.0,Partner,mirror
O-000307,C-0104,P-120,2025-11-22,3,0.1,33750.0,Partner,mirror
O-000308,C-0028,P-100,2025-12-12,1,0.15,7157.0,Direct,copy_job
O-000309,C-0021,P-130,2026-02-16,7,0.1,39060.0,Partner,copy_job
O-000310,C-0056,P-150,2025-12-18,4,0.05,37240.0,Partner,copy_job
O-000311,C-0011,P-150,2025-09-02,3,0.15,24990.0,Direct,shortcut
O-000312,C-0086,P-140,2025-07-07,2,0.1,14040.0,Web,mirror
O-000313,C-0096,P-110,2026-06-16,2,0,9990,Partner,copy_job
O-000314,C-0075,P-140,2025-08-14,5,0,39000,Direct,mirror
O-000315,C-0146,P-110,2025-01-25,2,0,9990,Marketplace,shortcut
O-000316,C-0094,P-100,2026-03-03,3,0.1,22734.0,Partner,shortcut
O-000317,C-0081,P-110,2026-03-06,7,0.15,29720.25,Partner,copy_job
O-000318,C-0146,P-100,2026-06-15,4,0.1,30312.0,Web,mirror
O-000319,C-0150,P-150,2025-11-28,2,0.1,17640.0,Web,copy_job
O-000320,C-0097,P-110,2026-01-12,5,0.1,22477.5,Marketplace,mirror
O-000321,C-0031,P-100,2026-05-10,3,0,25260,Marketplace,mirror
O-000322,C-0051,P-140,2026-07-06,4,0.15,26520.0,Partner,mirror
O-000323,C-0053,P-140,2026-03-29,4,0.15,26520.0,Web,shortcut
O-000324,C-0068,P-120,2026-01-22,6,0.15,63750.0,Partner,mirror
O-000325,C-0015,P-110,2025-12-04,2,0,9990,Direct,mirror
O-000326,C-0058,P-100,2025-12-11,6,0,50520,Web,shortcut
O-000327,C-0142,P-100,2026-03-07,8,0.05,63992.0,Web,shortcut
O-000328,C-0012,P-100,2026-05-03,4,0,33680,Partner,mirror
O-000329,C-0054,P-120,2026-03-29,4,0.15,42500.0,Web,copy_job
O-000330,C-0115,P-100,2026-06-19,1,0.05,7999.0,Partner,shortcut
O-000331,C-0020,P-110,2025-04-16,3,0.1,13486.5,Direct,mirror
O-000332,C-0039,P-100,2026-05-24,8,0.1,60624.0,Web,shortcut
O-000333,C-0010,P-100,2025-12-08,4,0,33680,Direct,shortcut
O-000334,C-0016,P-140,2026-05-06,5,0.05,37050.0,Marketplace,copy_job
O-000335,C-0055,P-130,2025-12-06,7,0.05,41230.0,Direct,copy_job
O-000336,C-0121,P-130,2025-02-07,2,0,12400,Marketplace,mirror
O-000337,C-0089,P-130,2025-04-13,4,0.05,23560.0,Partner,shortcut
O-000338,C-0013,P-150,2025-01-12,8,0.15,66640.0,Partner,shortcut
O-000339,C-0020,P-110,2025-04-03,7,0.05,33216.75,Web,shortcut
O-000340,C-0022,P-140,2025-06-03,4,0,31200,Partner,shortcut
O-000341,C-0078,P-110,2026-03-27,1,0.05,4745.25,Partner,copy_job
O-000342,C-0017,P-100,2026-01-15,3,0.15,21471.0,Direct,shortcut
O-000343,C-0066,P-150,2025-01-06,7,0,68600,Partner,mirror
O-000344,C-0040,P-130,2025-08-18,8,0.15,42160.0,Partner,mirror
O-000345,C-0011,P-120,2025-06-08,1,0,12500,Web,copy_job
O-000346,C-0124,P-100,2025-12-22,8,0.05,63992.0,Marketplace,mirror
O-000347,C-0104,P-110,2026-01-14,1,0,4995,Partner,copy_job
O-000348,C-0008,P-130,2025-12-11,2,0.05,11780.0,Direct,copy_job
O-000349,C-0061,P-110,2025-10-23,8,0,39960,Marketplace,shortcut
O-000350,C-0103,P-130,2025-05-07,3,0,18600,Web,shortcut
O-000351,C-0150,P-150,2025-06-01,6,0.05,55860.0,Web,mirror
O-000352,C-0056,P-140,2025-10-19,3,0.15,19890.0,Direct,shortcut
O-000353,C-0020,P-100,2025-12-15,5,0,42100,Marketplace,mirror
